"DATE","PN01652XM","PN01654XM","PN01655XM","PN01660XM","PN01661XM","PN01662XM","PN01664XM"
Ene00,83.7023080503666,284.315,5.23928571428571,27.297,97.8607485921334,74.406013479,342.031452498857
Feb00,81.3776039318044,299.864285714286,5.28428571428571,29.3728571428571,100.288458026633,78.117878097,333.748370361914
Mar00,78.9373990419238,286.389130434783,5.10152173913043,29.8417391304348,99.2998772479,79.7292870451304,358.193664180513
Abr00,76.2900416606452,279.72,5.10125,25.8005,96.668108993365,80.84272416885,390.20718098089
May00,80.9706761641179,275.010869565217,5.04304347826087,28.8304347826087,100.166549546609,82.142732616913,374.191556163635
Jun00,79.4726828652091,285.731818181818,5.05227272727273,31.8222727272727,103.842735983318,70.1828727428182,344.0313601631
Jul00,81.7891850125666,281.585714285714,5.02166666666667,29.9580952380952,103.324188382567,57.477661206,320.457645412143
Ago00,84.2293429467149,274.432608695652,4.92760869565218,31.2639130434783,100.110635204757,56.4506630903478,309.423577655574
Sep00,88.9899639576795,273.678571428571,4.94785714285714,33.8619047619048,109.833074217767,59.652288962,306.537028284657
Oct00,85.9273023542772,269.997727272727,4.88136363636364,33.1086363636364,121.120630695782,68.6081422988182,295.048653907027
Nov00,81.4471498535519,266.006818181818,4.7125,34.4688636363636,123.446340544705,75.1396947085909,293.254892773673
Dic00,83.9788482013505,271.828571428571,4.66238095238095,28.3280952380952,123.751941642233,77.04931101,289.309477224171
Ene01,81.1008374541905,265.876086956522,4.695,29.4821739130435,126.35443094123,75.5528280414783,280.466338781391
Feb01,80.110083240551,261.865,4.5705,29.59,121.01541007066,74.66190717615,280.91301449524
Mar01,79.0230078794026,263.027272727273,4.39931818181818,27.2445454545455,123.993320778473,73.9049628831818,311.152420059545
Abr01,75.604668982692,260.361904761905,4.39214285714286,27.55,121.8447681045,71.781462739,301.434901645171
May01,76.532866421909,272.273913043478,4.44239130434783,28.6052173913044,124.205722661483,68.2269081498261,298.879730332965
Jun01,73.0518078997588,270.230952380952,4.36809523809524,27.5990476190476,117.859825230933,66.719829169,310.389868771676
Jul01,69.253143578654,267.531818181818,4.25522727272727,26.4181818181818,113.320943087545,73.0639136687727,360.175210363291
Ago01,66.6416930538114,272.404347826087,4.20717391304348,27.3739130434783,112.244047386678,76.0320938287826,379.012969984791
Sep01,64.7446415545228,283.42,4.3825,26.222,113.790678021125,74.406013479,342.39993942282
Oct01,62.4767289855652,283.060869565217,4.42260869565217,22.1695652173913,117.184478877474,70.2809043811305,314.417527160191
Nov01,65.164626857635,276.163636363636,4.11818181818182,19.5209090909091,120.815824916659,72.3839164315909,330.382741930536
Dic01,66.7101545115768,276.142857142857,4.3802380952381,19.3804761904762,116.521304353533,75.005910791,327.732900064743
Ene02,68.3178154846095,281.29347826087,4.50239130434783,19.6517391304348,117.559903744196,74.7312295489565,319.14308782387
Feb02,70.8224391784789,295.495,4.4545,20.761,116.169833266935,73.87454195415,304.91033173571
Mar02,72.9648693613138,294.404761904762,4.57571428571429,24.6109523809524,115.563343333433,73.881103331,318.07455333979
Abr02,72.1474752846381,302.668181818182,4.605,26.2,116.252089073082,72.2407591185,333.729759911209
May02,72.3918638638807,314.317391304348,4.74065217391304,27.0260869565217,115.447140398496,74.7483461842174,351.924867681435
Jun02,74.829587612864,321.72,4.92125,25.526,112.67458781894,77.81136806415,390.26229654644
Jul02,72.0433865918228,313.291304347826,4.94826086956522,26.9673913043478,141.427339951952,84.6588780002609,420.459875278391
Ago02,67.2775426093749,310.059090909091,4.56159090909091,28.385,148.695115152309,95.2354025337273,453.691293583764
Sep02,67.0919280934437,319.135714285714,4.59738095238095,29.6304761904762,182.795584789767,98.458146332,451.590698609295
Oct02,67.3987978910668,316.55652173913,4.42239130434783,28.8365217391304,185.69552317263,91.6082319161739,456.481491858722
Nov02,71.8436322108352,319.066666666667,4.5297619047619,26.4014285714286,173.041004539433,89.328459115,512.448781179457
Dic02,72.1510834057988,334,4.65931818181818,29.5822727272727,161.054363182491,88.7217447880909,501.240995135536
Ene03,74.6442458243637,356.245652173913,4.83707826086957,32.9121739130435,147.462094990426,87.0552069367826,460.584006998791
Feb03,76.3008144795395,358.97,4.6745,35.85975,147.824539742075,89.1691113915,456.94110774883
Mar03,75.1009654506335,340.55,4.54738095238095,33.4321428571429,137.8282821111,87.791222253,471.579277048762
Abr03,72.1569594888321,328.072727272727,4.53431818181818,28.2581818181818,136.991408318323,90.207001911409,490.478428335409
May03,74.7824346237517,355.665909090909,4.74818181818182,28.1827272727273,138.3400695054,92.5869922415455,512.183940150191
Jun03,76.4351750207561,356.352380952381,4.55619047619048,30.6623809523809,128.6948455359,91.221885006,504.4176559136
Jul03,77.69248518801,351.019565217391,4.85826086956522,30.7408695652174,115.4671098063,81.7661666411739,482.534380061313
Ago03,79.6886203259158,359.719047619048,5.03023809523809,31.5738095238095,135.3218361544,83.348232786,450.813831590114
Sep03,81.1780871041354,378.945454545455,5.20522727272727,28.4681818181818,132.1854980201,83.0133469285909,512.003561935664
Oct03,87.3429587765113,378.919565217391,5.03913043478261,30.3413043478261,134.378138997017,80.704935255,604.795082424835
Nov03,93.1349882741835,389.91,5.22325,31.0305,149.85922270326,86.78733159495,615.089711538
Dic03,100.063956919232,407.902173913043,5.66326086956522,32.2039130434783,155.4258948228,91.0262663173044,646.6158150326
Ene04,109.622967997912,413.945454545455,6.33113636363636,34.185,155.9770504782,96.7206596570455,663.932123627218
Feb04,124.815807476527,404.9475,6.48075,34.723,152.858428061395,104.6408380038,722.33357898519
Mar04,136.090531263521,406.667391304348,7.28652173913043,36.7434782608696,152.9456943735,112.353593852348,756.674410449139
Abr04,132.899473051842,404.736363636364,7.13204545454545,36.7656818181818,156.603363722973,117.442680726954,741.394545754764
May04,124.052114515244,384.454761904762,5.89357142857143,40.2738095238095,151.729652530633,112.574479955,706.004149188095
Jun04,121.973051285306,392.372727272727,5.87727272727273,38.0445454545454,145.325549895432,106.330094298273,664.322943092027
Jul04,127.767693869484,398.090909090909,6.36068181818182,40.6686363636364,141.312969707255,87.6659596040454,630.361733701309
Ago04,128.954765731373,400.7,6.72272727272727,44.9031818181818,132.561285966964,83.3712402113182,577.691295059345
Sep04,131.685598004187,405.275,6.41659090909091,45.845,142.615701256382,76.3028478774545,575.476651425427
Oct04,136.504305176984,420.464285714286,7.14690476190476,53.2233333333333,140.9514974917,67.825889838,507.882062891029
Nov04,141.988845701672,439.375,7.52227272727273,48.53,147.759820706782,68.107091703,502.824315018609
Dic04,142.677481397496,441.917391304348,7.10260869565217,43.2908695652174,148.604345116835,71.1538527794348,477.789648766139
Ene05,143.909740681542,424.695238095238,6.65452380952381,46.9119047619048,147.4341378195,70.994097517,448.91365685401
Feb05,147.285979922369,423.35,7.09175,48.164,143.378550788515,71.63055107145,456.32381341467
Mar05,153.138702051889,433.523913043478,7.27065217391304,53.9882608695652,120.643180309187,75.4843615004348,521.872515890391
Abr05,153.759175099154,429.233333333333,7.15738095238095,52.9790476190476,132.259860291067,74.481000643,510.485617225581
May05,147.300000050307,422.318181818182,7.06431818181818,49.9163636363636,134.828539913041,73.9944362038636,515.510916107027
Jun05,160.105737495718,430.656818181818,7.33636363636364,56.3868181818182,136.356744230286,77.4302117180454,539.661554829845
Jul05,163.677728354785,424.478571428571,7.03547619047619,59.0080952380952,137.955135396867,83.98562368,561.118450110848
Ago05,172.075197616688,437.878260869565,7.02717391304348,64.9852173913043,142.433798105291,75.8951607466957,518.642264483374
Sep05,174.662960041736,456.047727272727,7.185,65.6468181818182,155.438421087695,67.5344624506364,507.965094132636
Oct05,184.105584934734,469.988095238095,7.69904761904762,62.2390476190476,164.301250575233,64.357733503,533.686645771391
Nov05,194.05403405141,476.665909090909,7.88681818181818,58.3181818181818,159.476053805664,65.7807853652727,497.182485308673
Dic05,207.727782358923,509.343181818182,8.68363636363637,59.3622727272727,162.870671592332,71.4354992323636,461.267178593909
Ene06,214.761556838881,548.188636363636,9.17022727272727,65.21,162.281937142245,75.4975879913182,467.700668245382
Feb06,225.661072330475,554.995,9.5165,61.5375,168.125439715975,79.0121000277,470.25702838571
Mar06,232.405941635701,557.213043478261,10.3752173913043,62.6852173913044,163.022257551574,78.3086063184783,479.026154497609
Abr06,289.840991378751,608.8875,12.63925,69.448,173.05368986801,84.2874470151,472.93564487144
May06,364.327367335383,672.586956521739,13.3489130434783,70.8660869565217,185.799364093213,85.4120099517391,514.664358448026
Jun06,327.619463180352,596.145454545455,10.7740909090909,70.9509090909091,186.415874174155,82.4049283479545,506.031038832427
Jul06,350.478947972233,633.709523809524,11.1930952380952,74.357619047619,189.0201442948,84.416799873,537.633970085067
Ago06,348.584753729258,632.1,12.2539130434783,73.0430434782609,178.542481297113,79.386954339913,506.92900863953
Sep06,345.757267350106,598.185714285714,11.6664285714286,64.0571428571429,183.832282332067,84.210585172,507.850568282143
Oct06,340.07675921081,585.779545454546,11.6168181818182,58.8931818181818,202.070364956167,107.546931459545,543.178930013127
Nov06,318.843481625629,627.827272727273,12.9904545454546,58.9481818181818,201.167638799368,132.044726662227,607.664141706627
Dic06,301.441292361915,628.745238095238,13.2611904761905,61.9519047619047,196.6182186871,136.870321091,603.57318288879
Ene07,259.284248035686,631.363043478261,12.8545652173913,54.7147826086957,190.204615454852,142.102305935739,595.746544358887
Feb07,259.370923622029,664.745,13.94625,59.284,193.81388622141,151.74496240995,605.63188048962
Mar07,293.260871704094,654.895454545455,13.1627272727273,60.4418181818182,193.693634078414,146.843613903,623.647655716127
Abr07,350.124713927389,678.809523809524,13.7288095238095,63.9904761904762,199.207775417233,130.796360807,670.047804043571
May07,348.836201675989,667.310869565217,13.1836956521739,63.5039130434783,201.714982113278,136.470932934913,711.086648752478
Jun07,340.840110014208,655.490476190476,13.1547619047619,67.4890476190476,225.308932526533,142.550598764,725.184365999495
Jul07,362.008981409418,665.295454545455,12.9343181818182,73.9945454545455,223.314075134532,117.728995353136,752.066923447627
Ago07,340.011857851297,665.213043478261,12.3321739130435,72.3560869565217,245.467954612604,118.738098804652,754.55605566887
Sep07,347.966586208451,712.6525,12.88375,79.618,304.68803223271,121.5298220157,818.87400360257
Oct07,363.807708245472,754.604347826087,13.7217391304348,85.7986956521739,317.4656575104,125.858619073174,843.613224281922
Nov07,315.583801879824,806.247727272727,14.6545454545455,94.945,307.436294750773,140.938374738,944.109595847664
Dic07,301.641628993984,805.7,14.3504761904762,91.7971428571429,348.400362232533,157.210589326,971.629680530209
Ene08,320.231286041784,887.167391304348,16.0026086956522,92.9947826086956,354.16144129167,176.57520935113,1075.37657374861
Feb08,360.204184477781,922.297619047619,17.642619047619,95.3947619047619,426.130806648867,190.167447904,1245.54879221223
Mar08,380.576961983684,964.369047619048,19.1252380952381,105.316666666667,435.7541593622,200.178234298,1259.32243449825
Abr08,395.268642269285,909.704545454545,17.5106818181818,112.580454545455,360.739727302564,218.046482501591,1255.82319257463
May08,379.335179223378,888.829545454545,17.0961363636364,125.678636363636,323.223563940677,217.957009180909,1311.36966163711
Jun08,376.118796931502,889.488095238095,17.0395238095238,133.88,330.225348358033,254.862623645,1384.31403896269
Jul08,381.336095308577,939.771739130435,18.0697826086957,133.89,310.739960961896,233.145688888304,1342.26052011533
Ago08,346.546734078097,838.309523809524,14.5780952380952,116.676904761905,306.949957545467,195.679004458,1132.76659779249
Sep08,316.385835669272,829.954545454545,12.2627272727273,104.5575,268.429505866327,194.318157856773,1044.14935782687
Oct08,222.028536963552,806.619565217391,10.4271739130435,76.6208695652174,213.077575153952,143.642803109217,788.881071361835
Nov08,169.153101306319,760.8625,9.9065,57.163,217.75241352095,130.5845220687,707.97046260286
Dic08,139.678841373931,822,10.3326086956522,40.7326086956522,214.974668895365,129.247712854826,653.085903162382
Ene09,147.436593208536,859.193181818182,11.3690909090909,41.5536363636364,233.857014754873,140.186798844273,696.520454385145
Feb09,150.974252917483,943.1625,13.4395,39.0145,219.428845306125,134.65913709255,634.81006089179
Mar09,171.044014517496,924.272727272727,13.1161363636364,47.9404545454545,218.458059776727,138.987856347136,620.420889878473
Abr09,201.636242947804,889.318181818182,12.5109090909091,49.7645454545454,213.476781769968,143.049945106091,723.266535194773
May09,208.314997941576,928.02380952381,14.1407142857143,59.1295238095238,234.000569727167,155.017214779,812.518916439581
Jun09,227.496162752837,945.670454545455,14.6593181818182,69.6413636363636,234.090838366255,153.929900901,791.399395226491
Jul09,237.15682872335,934.228260869565,13.3873913043478,64.2621739130435,196.407113518883,125.019903945391,677.34633732013
Ago09,280.798519395003,949.666666666667,14.4304761904762,71.0447619047619,180.783429222433,124.122503211,730.328485450829
Sep09,281.034495427925,996.590909090909,16.4754545454545,69.3418181818182,161.388396913036,119.554251095045,670.024898873473
Oct09,286.034835910855,1043.15909090909,17.2638636363636,75.7154545454545,176.762299361391,136.160499413591,731.443680920009
Nov09,303.110404301873,1127.03571428571,17.962380952381,77.9561904761905,192.134611172933,140.694666455,794.094570241438
Dic09,316.701154083756,1126.21739130435,17.6360869565217,74.5726086956522,187.664506782139,138.833028600913,789.686237884652
Ene10,334.123702926146,1116.5119047619,17.7454761904762,78.3590476190476,181.426444153733,136.682853181,752.752646977457
Feb10,311.5125010512,1095.4125,15.8515,76.2735,174.087106721885,130.28926011045,751.93063768554
Mar10,338.694467824502,1113.33695652174,17.1545652173913,81.2034782608696,170.894198108048,131.28459245087,807.888752489774
Abr10,351.135650568533,1146.39772727273,18.1577272727273,84.3131818181818,169.242365002486,130.774205508545,818.175539071872
May10,311.742699181257,1204.28571428571,18.4159523809524,73.7566666666667,163.596996126667,132.764773862,784.971631867543
Jun10,294.903082278119,1232.92045454545,18.5343181818182,75.3359090909091,155.146141573468,124.868966343545,760.765161792609
Jul10,306.200625078332,1192.96590909091,17.9331818181818,76.1259090909091,185.284334911932,134.0489290455,775.606280443437
Ago10,331.541490882096,1216.68181818182,18.4927272727273,76.5990909090909,241.4061770652,145.277830791068,826.763546285755
Sep10,350.608349433182,1270.97727272727,20.5779545454545,75.2090909090909,249.402109490132,173.980872065795,857.447884779227
Oct10,376.017278638163,1342.02380952381,23.4685714285714,81.8928571428572,250.1459310294,201.284294967,965.488231797495
Nov10,383.667501845688,1369.88636363636,26.6554545454545,84.2054545454545,255.352085315473,206.826528088091,1044.05916871961
Dic10,416.129588643505,1388.97826086957,29.4141304347826,89.2195652173913,287.351790541443,219.991554690326,1143.3172917692
Ene11,432.670966212625,1358.7380952381,28.5371428571429,89.2828571428571,304.4347630863,238.177979655,1200.32253385234
Feb11,448.191790286464,1372.725,30.94725,88.401,327.087916660925,259.9486280433,1211.16455296125
Mar11,431.065103644142,1424.01086956522,35.9460869565217,102.85652173913,297.827741875604,257.502660864522,1211.53598394648
Abr11,430.585521271791,1479.61904761905,42.7978571428571,109.636666666667,330.553417200533,285.8229489815,1255.72155088231
May11,406.414128534867,1512.60227272727,37.0572727272727,100.885909090909,332.146439967873,276.723086204727,1239.26848088579
Jun11,411.265505158446,1528.65909090909,35.8409090909091,96.2640909090909,303.127259626736,279.783073772045,1217.58301109485
Jul11,437.737701033922,1572.80952380952,38.1195238095238,97.1847619047619,284.2782134031,271.228572188,1223.69153364554
Ago11,408.267649509046,1757.20652173913,40.3517391304348,86.3234782608696,306.554373086104,284.615411117739,1216.28071524165
Sep11,376.48785618166,1771.85227272727,38.2490909090909,85.6015909090909,298.713838961905,264.268399965818,1212.04139150409
Oct11,335.394841556576,1665.21428571429,32.0633333333333,86.3090476190476,272.052181205933,242.470994794,1104.16949292426
Nov11,343.869409996646,1738.97727272727,33.2225,97.1295454545455,266.680004202595,241.273756550591,1113.96574786085
Dic11,343.164280032658,1642.65909090909,30.1188636363636,98.62,264.796889046645,230.751694038409,1105.79862314753
